	diet	reaction	metabolite	createdDate	updatedDate	fluxValue	g_day	mw	fullName	biggID	keggID	pubChemId	modelSeedID	miriam
etoh	Unhealthy	EX_etoh[e]	etoh	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	294.344930581483	13.56	46.0684	Ethanol	etoh	C00469	702	cpd00363	http://identifiers.org/vmhmetabolite/etoh
h2o	Unhealthy	EX_h2o[e]	h2o	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	152721.301028904	2751.317	18.01528	Water	h2o	C00001	962	cpd00001	http://identifiers.org/vmhmetabolite/h2o
caro	Unhealthy	EX_caro[e]	caro	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.00289454146104681	0.001554	536.8726	B-Carotene	caro	C02094	5280489	cpd01420	http://identifiers.org/vmhmetabolite/caro
retinol	Unhealthy	EX_retinol[e]	retinol	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	4.88738760753998	1.4	286.4516	Vitamin A	retinol	C00473	445354	cpd00365	http://identifiers.org/vmhmetabolite/retinol
thm	Unhealthy	EX_thm[e]	thm	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	6.20678895334771	1.647	265.3546	Thiamine	thm	C00378	1130	cpd00305	http://identifiers.org/vmhmetabolite/thm
adocbl	Unhealthy	EX_adpcbl[e]	adocbl	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	8.24775266466099e-06	1.3028e-05	1579.5818	Adenosylcobalamin	adocbl	C00194	5459907	cpd00166	http://identifiers.org/vmhmetabolite/adocbl
ribflv	Unhealthy	EX_ribflv[e]	ribflv	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.00631569605905348	0.002377	376.3639	Riboflavin	ribflv	C00255	493570	cpd00220	http://identifiers.org/vmhmetabolite/ribflv
nac	Unhealthy	EX_nac[e]	nac	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.455874825452595	0.055663	122.1015	Nicotinic acid	nac	C00253	938	cpd00218	http://identifiers.org/vmhmetabolite/nac
ncam	Unhealthy	EX_ncam[e]	ncam	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.243513591856186	0.029739	122.1246	Niacinamide	ncam	C00153	936	cpd00133	http://identifiers.org/vmhmetabolite/ncam
pnto_R	Unhealthy	EX_pnto_R[e]	pnto_R	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.0293318425309425	0.006401	218.227	Pantothenic acid	pnto__R	C00864	988	cpd00644	http://identifiers.org/vmhmetabolite/pnto_R
pydam	Unhealthy	EX_pydam[e]	pydam	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.00397357777633308	0.000672333333333333	169.201	Pyridoxamine	pydam	C00534	1052	cpd00419	http://identifiers.org/vmhmetabolite/pydam
pydxn	Unhealthy	EX_pydxn[e]	pydxn	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.00397412268828022	0.000672333333333333	169.1778	Pyridoxine	pydxn	C00314	1054	cpd00263	http://identifiers.org/vmhmetabolite/pydxn
pydx	Unhealthy	EX_pydx[e]	pydx	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.00402204647786778	0.000672333333333333	167.162	Pyridoxal	pydx	C00250	1050	cpd00215	http://identifiers.org/vmhmetabolite/pydx
btn	Unhealthy	EX_btn[e]	btn	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.000269799718622111	6.5643e-05	243.3027	Biotin	btn	C00120	171548	cpd00104	http://identifiers.org/vmhmetabolite/btn
