,Name
33039,[Ruminococcus] torques
765821,uncultured Blautia sp.
1262755,Blautia sp. CAG:237
1262756,Blautia sp. CAG:257
1737424,Blautia massiliensis
1805476,Blautia sp. Marseille-P2398
40520,Blautia obeum
1917876,Blautia sp. Marseille-P3087
33038,[Ruminococcus] gnavus
1907659,Blautia sp. Marseille-P3201T
1946118,Blautia sp. UBA2945
180164,Blautia schinkii
1322,Blautia hansenii
33035,Blautia producta
1965659,Blautia sp. An81
1965603,Blautia sp. An249
53443,Blautia hydrogenotrophica
1796616,Blautia sp. YL58
2025493,Blautia hominis
88431,Dorea longicatena
39486,Dorea formicigenerans
286138,uncultured Dorea sp.
1262873,Dorea sp. CAG:317
1262872,Dorea sp. CAG:105
2040291,Dorea sp. Marseille-P4003
1235798,Dorea sp. 5-2
658665,Dorea sp. D27
1150298,Fusicatenibacter saccharivorans
39491,[Eubacterium] rectale
1952006,Lachnospiraceae bacterium UBA2886
665950,Lachnospiraceae bacterium 3_1_46FAA
1952109,Lachnospiraceae bacterium UBA638
1951976,Lachnospiraceae bacterium UBA1683
1952030,Lachnospiraceae bacterium UBA3316
658085,Lachnospiraceae bacterium 5_1_57FAA
658088,Lachnospiraceae bacterium 9_1_43BFAA
1703332,Lachnospiraceae bacterium TF01-11
1952098,Lachnospiraceae bacterium UBA4711
1952105,Lachnospiraceae bacterium UBA5895
397290,Lachnospiraceae bacterium A2
397288,Lachnospiraceae bacterium 3-1
658086,Lachnospiraceae bacterium 3_1_57FAA_CT1
658655,Lachnospiraceae bacterium 1_4_56FAA
1392836,Lachnospiraceae bacterium TWA4
1952110,Lachnospiraceae bacterium UBA6403
742723,Lachnospiraceae bacterium 2_1_46FAA
1235793,Lachnospiraceae bacterium COE1
1952172,Lachnospiraceae bacterium UBA7598
1235799,Lachnospiraceae bacterium 3-2
1930015,Lachnospiraceae bacterium Zagget2
1898203,Lachnospiraceae bacterium
2002841,Lachnospiraceae bacterium Marseille-P3773
1235792,Lachnospiraceae bacterium M18-1
1235800,Lachnospiraceae bacterium 10-1
397287,Lachnospiraceae bacterium 28-4
1952133,Lachnospiraceae bacterium UBA7093
